,Gene,Ensembl,gene,pvalue,padj
9904,BRPF1,ENSG00000156983,ENSG00000156983,0.000214514633312,0.000922519063109
8831,DOCK11,ENSG00000147251,ENSG00000147251,0.000214679917647,0.000922519063109
422,RB1CC1,ENSG00000023287,ENSG00000023287,0.000214611308759,0.000922519063109
613,POLR2B,ENSG00000047315,ENSG00000047315,0.000214631078743,0.000922519063109
9688,VOPP1,ENSG00000154978,ENSG00000154978,0.000214559932123,0.000922519063109
11373,STRBP,ENSG00000165209,ENSG00000165209,0.000215189232632,0.000924479303936
4198,TBCCD1,ENSG00000113838,ENSG00000113838,0.0002154401943,0.000925328933295
10652,DDR2,ENSG00000162733,ENSG00000162733,0.000215729198532,0.000926185345894
15037,KCNQ3,ENSG00000184156,ENSG00000184156,0.000215746077698,0.000926185345894
13842,SEC24C,ENSG00000176986,ENSG00000176986,0.000216130760263,0.000927607839815
12042,NLRC3,ENSG00000167984,ENSG00000167984,0.000216866578297,0.00093053629242
16674,VPS13A,ENSG00000197969,ENSG00000197969,0.000217051794062,0.000931101345919
1397,PIAS2,ENSG00000078043,ENSG00000078043,0.000217323116485,0.000932035407114
3481,PSMD3,ENSG00000108344,ENSG00000108344,0.0002175768149,0.000932893442246
9343,CACUL1,ENSG00000151893,ENSG00000151893,0.000217685341865,0.000933128763366
5308,OPTN,ENSG00000123240,ENSG00000123240,0.000217803310352,0.000933404430542
16308,PLXNB2,ENSG00000196576,ENSG00000196576,0.000217885671158,0.000933527401425
9532,CMTM7,ENSG00000153551,ENSG00000153551,0.000218069906979,0.000934086686013
15146,CDCA2,ENSG00000184661,ENSG00000184661,0.000218239907695,0.000934584735195
15734,HSPA14,ENSG00000187522,ENSG00000187522,0.000218389642883,0.000934995776014
2463,RASSF2,ENSG00000101265,ENSG00000101265,0.000218489302133,0.000935192276232
3548,RAB5C,ENSG00000108774,ENSG00000108774,0.000220086540368,0.000941754492821
4407,SF3B1,ENSG00000115524,ENSG00000115524,0.000220130713872,0.000941754492821
5854,SIN3B,ENSG00000127511,ENSG00000127511,0.000220415316634,0.0009427402097
12327,TBC1D10B,ENSG00000169221,ENSG00000169221,0.000221450146189,0.000946933454514
4404,TXNDC9,ENSG00000115514,ENSG00000115514,0.00022161491017,0.00094740510258
11530,PACSIN3,ENSG00000165912,ENSG00000165912,0.000222736744291,0.000951966994336
16515,ZNF860,ENSG00000197385,ENSG00000197385,0.000223182070973,0.000953635992281
6775,AP4B1,ENSG00000134262,ENSG00000134262,0.000223331248496,0.000954039063749
4155,RAD50,ENSG00000113522,ENSG00000113522,0.00022478715674,0.000959835135426
7519,CUZD1,ENSG00000138161,ENSG00000138161,0.000224798409987,0.000959835135426
9163,CTF1,ENSG00000150281,ENSG00000150281,0.000224907209401,0.000960064026387
10316,DIP2A,ENSG00000160305,ENSG00000160305,0.000225606748809,0.000962813885066
1199,FBXW11,ENSG00000072803,ENSG00000072803,0.000225772639959,0.000963049306543
8337,TTC13,ENSG00000143643,ENSG00000143643,0.000225724815307,0.000963049306543
16972,TOP1,ENSG00000198900,ENSG00000198900,0.000226916139832,0.000967239570845
4513,LRRC42,ENSG00000116212,ENSG00000116212,0.000226921798713,0.000967239570845
16556,SIPA1L1,ENSG00000197555,ENSG00000197555,0.000226887620581,0.000967239570845
11210,RPS14,ENSG00000164587,ENSG00000164587,0.00022721350431,0.000968245690217
10054,CUL4B,ENSG00000158290,ENSG00000158290,0.000227335852036,0.00096852979333
11184,TXLNB,ENSG00000164440,ENSG00000164440,0.000227492291686,0.000968958965199
12869,BPTF,ENSG00000171634,ENSG00000171634,0.000227587099583,0.000969125482802
5235,HOXA7,ENSG00000122592,ENSG00000122592,0.00022773178744,0.000969314005155
12363,SIN3A,ENSG00000169375,ENSG00000169375,0.000227742819147,0.000969314005155
14122,ZHX2,ENSG00000178764,ENSG00000178764,0.000227899760576,0.000969744700394
4483,CD207,ENSG00000116031,ENSG00000116031,0.00022799707672,0.000969921533269
4955,CPN1,ENSG00000120054,ENSG00000120054,0.000228279426233,0.000970853364423
